id_empleado,nombre,apellido,género,provincia,ciudad,fecha_contratacion,departamento,puesto_trabajo,nivel_educacion,salario,calificacion_desempeno,horas_extra,fecha_nacimiento,fecha_terminacion
00-95822412,Feliciana,Cantón,Mujer,Managua,Tipitapa,2016-01-10,Atención al Cliente,Técnico de Mesa de Ayuda,Secundaria,81552,Bueno,No,1980-02-22,2021-07-05
00-42868828,Leonardo,Hierro,Hombre,Estelí,Estelí,2017-03-23,TI,Administrador de Sistemas,Licenciatura,107520,Bueno,No,1988-03-26,2019-06-14
00-83197857,Maite,Calatayud,Hombre,Managua,Managua,2016-09-03,Operaciones,Coordinador de Logística,Licenciatura,61104,Bueno,Sí,1993-10-08,2021-03-06
00-13999315,Tecla,Bonet,Hombre,Managua,Ciudad Sandino,2016-08-03,Operaciones,Especialista en Inventario,Licenciatura,73770,Bueno,No,1980-03-31,2018-11-06
00-90801586,Amílcar,Andrés,Mujer,Managua,Ciudad Sandino,2015-02-04,Operaciones,Analista de Operaciones,Licenciatura,55581,Satisfactorio,No,1985-02-03,2017-11-29
00-97226012,Joan,Vazquez,Mujer,Managua,Managua,2022-08-08,Operaciones,Analista de Operaciones,Licenciatura,73800,Bueno,Sí,1988-10-08,2023-02-04
00-70291817,Chelo,Flor,Hombre,Managua,Tipitapa,2020-09-18,Finanzas,Contador,Licenciatura,68181,Bueno,No,1991-10-26,2021-03-17
00-31429110,Judith,Rivas,Mujer,Managua,Tipitapa,2022-03-22,Finanzas,Especialista en Cuentas por Pagar,Licenciatura,54499,Bueno,Sí,1996-05-31,2022-09-18
00-30868105,Dolores,Lobo,Hombre,Managua,Tipitapa,2017-10-22,Operaciones,Especialista en Inventario,Secundaria,57340,Bueno,No,2002-03-14,2021-11-15
00-22448136,Adolfo,Cuervo,Mujer,Managua,Ciudad Sandino,2018-09-12,Operaciones,Coordinador de Logística,Licenciatura,54065,Bueno,Sí,1980-12-17,2022-03-30
00-56164955,Noé,Lobo,Mujer,Managua,Tipitapa,2021-02-26,Marketing,Especialista en SEO,Secundaria,83262,Bueno,No,1994-01-11,2021-08-25
00-71662963,María Carmen,Navarro,Mujer,Managua,Tipitapa,2020-02-07,RRHH,Reclutador,Secundaria,61651,Bueno,No,1974-04-20,2024-01-28
00-84093639,Ricardo,Caballero,Hombre,Managua,Ciudad Sandino,2017-05-11,Operaciones,Analista de Operaciones,Licenciatura,75509,Bueno,No,1968-01-16,2018-01-04
00-58537831,Omar,Lamas,Mujer,Managua,Managua,2020-10-21,Atención al Cliente,Técnico de Mesa de Ayuda,Secundaria,67011,Bueno,No,2002-08-28,2021-04-19
00-16150444,Luna,Segovia,Hombre,Rivas,San Jorge,2022-07-15,TI,Especialista de Soporte TI,Licenciatura,60136,Bueno,No,1986-12-20,2023-01-11
00-41244663,Ágata,Pinedo,Hombre,Managua,Ciudad Sandino,2023-01-29,Operaciones,Coordinador de Logística,Licenciatura,67552,Satisfactorio,Sí,1964-02-25,2023-07-28
00-70855700,Lázaro,Pardo,Hombre,Rivas,San Jorge,2021-07-30,Operaciones,Especialista en Inventario,Licenciatura,59934,Bueno,No,2003-04-03,2022-01-26
00-59684848,Julie,Baños,Mujer,Managua,Managua,2018-01-17,Ventas,Gerente de Ventas,Doctorado,104162,Bueno,No,1962-11-21,2019-12-08
00-96977837,Javier,Mancebo,Hombre,Managua,Ciudad Sandino,2016-12-25,Atención al Cliente,Representante de Atención al Cliente,Licenciatura,63873,Bueno,No,1962-10-27,2023-01-29
00-81691040,Rita,Guerrero,Hombre,Rivas,San Juan del Sur,2022-11-12,TI,Especialista de Soporte TI,Licenciatura,66250,Excelente,No,1960-07-08,2023-05-11
00-60929647,Ricardo,Lobo,Hombre,Managua,Tipitapa,2017-06-15,Atención al Cliente,Especialista de Soporte,Licenciatura,61729,Satisfactorio,No,1974-03-16,2024-06-16
00-84752529,Perlita,Patiño,Mujer,Managua,Managua,2017-03-01,Ventas,Gerente de Ventas,Maestría,84046,Satisfactorio,Sí,1980-04-07,2022-08-06
00-17507864,Pedro,Gallego,Hombre,Estelí,Pueblo Nuevo,2017-09-01,Ventas,Especialista de Ventas,Doctorado,69318,Bueno,Sí,1995-04-08,2018-02-28
00-52339391,Judith,Bellido,Hombre,Matagalpa,Matagalpa,2019-08-10,Ventas,Consultor de Ventas,Licenciatura,99002,Satisfactorio,No,2002-10-25,2020-02-06
00-86125617,Francisco Javier,Hierro,Hombre,Managua,Tipitapa,2023-03-01,Operaciones,Coordinador de Logística,Licenciatura,69163,Bueno,No,1990-05-02,2024-02-06
00-97971488,Reynaldo,Lerma,Hombre,Managua,Tipitapa,2020-12-27,Operaciones,Especialista en Inventario,Licenciatura,65830,Bueno,Sí,1993-02-14,2021-10-27
00-29175900,Felicidad,Gimenez,Hombre,Managua,Ciudad Sandino,2017-09-07,Marketing,Creador de Contenido,Licenciatura,68419,Bueno,No,1971-03-30,2018-03-06
00-85345555,Pía,Barba,Hombre,Managua,Managua,2020-03-24,Ventas,Especialista de Ventas,Licenciatura,71110,Necesita Mejora,No,1993-02-21,2021-04-09
00-67503414,Amílcar,Moles,Hombre,Chinandega,Corinto,2023-05-27,TI,Administrador de Sistemas,Licenciatura,84205,Excelente,No,1977-11-06,2023-11-23
00-39436733,Blas,Galván,Hombre,Managua,Tipitapa,2024-11-29,Ventas,Especialista de Ventas,Maestría,67953,Satisfactorio,No,1983-06-24,2025-05-28
00-76238574,Claudia,Miranda,Hombre,Managua,Tipitapa,2016-03-18,TI,Especialista de Soporte TI,Secundaria,58445,Bueno,No,1961-07-23,2021-05-10
00-24716857,Angelina,Priego,Mujer,Managua,Ciudad Sandino,2017-11-19,Atención al Cliente,Representante de Atención al Cliente,Licenciatura,58697,Satisfactorio,Sí,1993-02-15,2021-11-16
00-66661351,Fernanda,Segarra,Hombre,Managua,Tipitapa,2020-02-22,Ventas,Especialista de Ventas,Doctorado,77156,Satisfactorio,No,1970-04-07,2022-11-17
00-89978790,Emilio,Huerta,Mujer,Managua,Ciudad Sandino,2024-09-28,Ventas,Especialista de Ventas,Licenciatura,81038,Excelente,No,2003-07-22,2025-03-27
00-84252722,Bárbara,Jódar,Hombre,Managua,Managua,2023-09-29,Finanzas,Especialista en Cuentas por Pagar,Licenciatura,71339,Satisfactorio,No,1979-11-11,2024-03-27
00-25374874,Tiburcio,Pujol,Hombre,Managua,Tipitapa,2022-05-12,Operaciones,Analista de Operaciones,Maestría,81316,Excelente,No,1983-02-23,2022-11-08
00-45812670,Emiliano,Vergara,Mujer,Managua,Ciudad Sandino,2022-06-29,TI,Desarrollador de Software,Licenciatura,96947,Excelente,No,2002-04-19,2024-02-14
00-49392920,Marisol,Arévalo,Hombre,Managua,Managua,2019-11-10,Operaciones,Coordinador de Logística,Licenciatura,67437,Excelente,No,1983-12-01,2021-04-29
00-45351479,Ezequiel,Cuesta,Mujer,Rivas,Rivas,2024-10-16,Ventas,Consultor de Ventas,Doctorado,116328,Satisfactorio,No,1969-08-23,2025-04-14
00-24282218,Telmo,Bartolomé,Hombre,León,El Sauce,2023-05-21,Operaciones,Coordinador de Logística,Licenciatura,67630,Satisfactorio,No,1972-06-10,2024-01-25
